"","LENGTH","AGE","INDWT"
"1534","25","2",".149"
"1535","20","1",".068"
"1536","28","2",".216"
"1537","22","1",".096"
"1538","27","2",".184"
"1539","26","2",".166"
"1540","29","2",".229"
"1541","27","2",".204"
"1542","57","5","2.004"
"1543","36","3",".461"
"1544","20","1",".068"
"1545","21","1",".078"
"1546","18","0",".052"
"1547","51","3","1.567"
"1548","45","4",".92"
"1549","55","4","1.814"
"1550","49","3","1.261"
"1551","53","3","1.723"
"1552","48","4","1.212"
"1553","53","4","1.823"
"1554","48","4","1.2"
"1555","52","3","1.615"
"1556","49","3","1.338"
"1557","40","3",".723"
"1558","38","2",".653"
"1559","57","4","2.277"
"1560","57","4","1.985"
"1561","39","3",".65"
"1562","63","6","2.318"
"1563","74","6","4.374"
"1564","58",NA,"2.044"
"1565","44","3",".925"
"1566","42","3",".777"
"1567","48","4","1.288"
"1568","60","6","2.271"
"1569","43","3",".987"
"1570","62","5","2.682"
"1571","63","6","2.66"
"1572","35","2",".464"
"1573","68",NA,"3.512"
"1574","73","6","4.002"
"1575","61","6","2.696"
"1576","63","5","2.84"
"1577","50","4","1.33"
"1578","59","4","2.432"
"1579","70","6","3.508"
"1580","66","5","3.71"
"1581","58","4","1.872"
"1582","53","4","1.662"
"1583","54","5","1.706"
"1584","50","4","1.418"
"1585","60","5","2.428"
"1586","62","5","2.74"
"1587","56","4","1.938"
"1588","56","4","2.093"
"1589","57","5","1.842"
"1590","53","4","1.845"
"1591","36","2",".518"
"1592","27","1",".207"
"1593","56","4","1.882"
"1594","57","4","1.744"
"1595","44","3",".78"
"1596","59","6","2.062"
"1597","55","5","1.844"
"1598","57","4","1.976"
"1599","30","2",".204"
"1600","60","6","2.306"
"1601","31","2",".292"
"1602","49","3","1.13"
"1603","35","2",".422"
"1604","34","2",".378"
"1605","60","4","2.214"
"1606","35","2",".418"
"1607","53","4","1.478"
"1608","35","2",".417"
"1609","45","4",".982"
"1610","18","0",".053"
"1611","59","4","1.82"
"1612","58","4","2.264"
"1613","55","4","1.719"
"1614","36","2",".518"
"1615","69","5","3.848"
"1616","73","6","4.36"
"1617","82","7","6.24"
"1618","35","2",".442"
"1619","43",NA,".846"
"1620","36","2",".486"
"1621","36","2",".446"
"1622","30","2",".286"
"1623","39","2",".59"
"1624","30","2",".266"
"1625","48","4","1.086"
"1626","50","4","1.21"
"1627","54","4","1.686"
"1628","55",NA,"1.598"
"1629","51","4","1.434"
"1630","70","6","3.416"
"1631","37","2",".562"
"1632","30","2",".322"
"1633","38","2",".58"
"1634","34","2",".41"
"1635","66","5","3.32"
"1636","71","5","3.82"
"1637","32","2",".372"
"1638","69","5","3.836"
"1639","38","2",".66"
"1640","69","5","3.932"
"1641","62","5","2.892"
"1642","65","5","2.664"
"1643","44","3",".764"
"1644","66","6","2.94"
"1645","49","3","1.09"
"1646","51","4","1.27"
"1647","13","0",".019"
"1648","32","2",".348"
"1649","16","0",".043"
"1650","19","0",".062"
"1651","16","0",".04"
"1652","17","0",".046"
"1653","15","0",".034"
"1654","73","6","4.98"
"1655","75","7","5.36"
"1656","84","7","7.74"
"1657","33","2",".366"
"1658","40","3",".64"
"1659","27","1",".179"
"1660","41","3",".757"
"1661","40","3",".652"
"1662","27","2",".198"
"1663","37","2",".524"
"1664","18","0",".06"
"1665","34","2",".383"
"1666","35","2",".395"
"1667","29","2",".238"
"1668","30","2",".273"
"1669","33","2",".363"
"1670","30","2",".257"
"1671","32","2",".319"
"1672","26","1",".174"
"1673","39","3",".56"
"1674","35","2",".438"
"1675","37","2",".518"
"1676","36","2",".472"
"1677","31","2",".27"
"1678","15","0",".024"
"1679","16","0",".033"
"1680","20","0",".077"
"1681","48","4","1.366"
"1682","61","5","2.214"
"1683","58","6","1.956"
