"","LENGTH","AGE","INDWT"
"730","31","1",".167"
"731","27","1",".098"
"732","46","2",".623"
"733","69",NA,"2.702"
"734","38","2",".438"
"735","35","2",".252"
"736","33","2",".225"
"737","30","1",".179"
"738","34","2",".236"
"739","28","1",".156"
"740","29","1",".154"
"741","31","1",".173"
"742","31","1",".193"
"743","30","1",".148"
"744","28",NA,".116"
"745","21","1",".057"
"746","20","1",".043"
"747","52",NA,".997"
"748","45","4",".588"
"749","38",NA,".351"
"750","28",NA,".124"
"751","54","3",".997"
"752","51","3",".944"
"753","51","3","1.145"
"754","50","4","1.202"
"755","60","4","1.594"
"756","55","4","1.567"
"757","58","4","1.479"
"758","55","4","1.365"
"759","33",NA,".186"
"760","27","2",".119"
"761","30","2",".154"
"762","29","2",".154"
"763","31","2",".169"
"764","28","2",".127"
"765","31","1",".184"
"766","29","2",".129"
"767","32","2",".193"
"768","39","3",".4"
"769","48","3",".835"
"770","43","2",".63"
"771","40",NA,".503"
"772","59","4","1.686"
"773","53","3","1.098"
"774","56","3","1.418"
"775","49","3","1.004"
"776","66","4","2.326"
"777","49","3",".881"
"778","51","4","1.178"
"779","62","4","1.912"
"780","61","4","1.872"
"781","66","4","2.298"
"782","26","1",".133"
"783","28","1",".132"
"784","66","4","2.616"
"785","60","4","1.562"
"786","63","4","2.022"
"787","55","4","1.088"
"788","48","3",".779"
"789","27","2",".115"
"790","29","2",".158"
"791","30",NA,".163"
"792","31","2",".171"
"793","25","1",".089"
"794","31","2",".184"
"795","23","1",".074"
"796","23","1",".064"
"797","27",NA,".108"
"798","70","5","2.506"
"799","62","6","2.244"
"800","68","5","3.038"
"801","61","5","1.536"
"802","64","5","2.166"
"803","55",NA,"1.337"
"804","66","4","2.101"
"805","65","4","2.118"
"806","34","2",".244"
"807","60","4","1.567"
"808","93","7","7.75"
"809","67","4","2.218"
"810","73","6","3.296"
"811","50","3","1.065"
"812","55","3","1.508"
"813","57",NA,"1.563"
"814","60",NA,"1.675"
"815","67",NA,"2.249"
"816","39","3",".465"
"817","63","5","1.872"
"818","66","5","2.284"
"819","51",NA,".986"
"820","63","4","1.899"
"821","61","4","1.819"
"822","68","4","2.566"
"823","32","2",".216"
"824","124","13","19.62"
"825","63","6","1.616"
"826","63","5","1.604"
"827","65",NA,"1.937"
"828","61","4","1.67"
"829","67","4","2.396"
"830","64","5","1.906"
"831","33","2",".213"
"832","65","5","2.302"
"833","62","5","1.64"
"834","55","4","1.139"
"835","55",NA,"1.094"
"836","69","5","2.715"
"837","73",NA,"3.356"
"838","61","5","1.771"
"839","54","4","1.221"
"840","65","4","1.993"
"841","48","5",".795"
"842","65","5","1.925"
"843","59",NA,"1.367"
"844","72","5","3.196"
"845","75","6","3.288"
"846","65","5","2.174"
"847","62",NA,"1.852"
"848","59","4","1.599"
"849","59",NA,"1.508"
"850","67","5","2.262"
"851","41","3",".464"
"852","63","5","1.846"
"853","60",NA,"1.658"
"854","55","4","1.42"
"855","41",NA,".444"
"856","33","2",".241"
"857","71",NA,"3.092"
"858","68","4","2.622"
"859","64","5","1.992"
"860","61","4","1.774"
"861","30","3",".167"
"862","40","2",".474"
"863","35","2",".302"
"864","33","2",".243"
"865","72","5","3.034"
"866","59",NA,"1.676"
"867","59","4","1.378"
"868","27","1",".133"
"869","26","1",".12"
"870","17","1",".033"
"871","26","2",".095"
"872","18","1",".029"
"873","55","4","1.4"
"874","55","4","1.18"
"875","74","6","3.33"
"876","41",NA,".615"
"877","48","4",".668"
"878","65","4","2.059"
"879","49",NA,".798"
"880","54","4","1.116"
"881","49",NA,"1.004"
"882","70",NA,"2.494"
"883","54","4","1.207"
"884","61",NA,"1.639"
"885","49","4",".936"
"886","55","5","1.135"
"887","54","4","1.333"
"888","71","8","2.926"
"889","59",NA,"1.812"
"890","71","5","2.965"
"891","69","5","2.22"
"892","74","5","2.913"
"893","65",NA,"2.127"
"894","68",NA,"2.193"
"895","63","5","1.733"
"896","64","6","1.877"
"897","67","5","2.089"
"898","61",NA,"1.663"
"899","44",NA,".645"
"900","24","1",".094"
"901","23","1",".077"
"902","23","1",".075"
"903","36","2",".311"
"904","26","1",".113"
"905","26",NA,".114"
"906","31",NA,".209"
"907","26","1",".116"
"908","29","1",".133"
"909","40","3",".429"
"910","58","4","1.272"
"911","31","1",".201"
"912","35","2",".265"
"913","29","2",".15"
"914","26","2",".094"
"915","55","4","1.258"
"916","39",NA,".376"
"917","34","2",".248"
"918","74","7","3.048"
"919","48","4",".759"
"920","54","4",".989"
"921","56",NA,"1.232"
"922","54",NA,"1.05"
"923","47","4",".645"
"924","43","4",".508"
"925","39","3",".374"
"926","38","3",".318"
"927","34",NA,".266"
"928","59","4","1.56"
"929","59","4","1.556"
"930","61","4","1.85"
"931","55","4","1.136"
"932","56","4","1.444"
"933","53","4","1.112"
"934","58","5","1.398"
"935","46","4",".709"
"936","47","3",".824"
"937","52",NA,"1.106"
"938","35","3",".272"
"939","28","1",".128"
"940","37","2",".308"
"941","33","2",".267"
"942","32","2",".237"
"943","31","1",".185"
"944","29","1",".167"
"945","42","3",".534"
"946","35","2",".259"
"947","70","7","2.196"
"948","61","4","1.65"
"949","53","4",".999"
"950","72","7","3.226"
"951","51",NA,".955"
"952","64","5","1.666"
"953","57",NA,"1.122"
"954","59","4","1.618"
"955","49",NA,".786"
"956","65","4","1.882"
"957","60","4","1.714"
"958","50","5",".843"
"959","33","2",".268"
"960","43","3",".605"
"961","39","2",".428"
"962","42","2",".477"
"963","35","1",".31"
"964","72",NA,"3.54"
"965","56","4","1.447"
"966","62","4","2.201"
"967","68","5","3.044"
"968","32","1",".212"
"969","36",NA,".348"
"970","33","1",".27"
"971","34","1",".241"
"972","26","1",".122"
"973","29","1",".164"
"974","27",NA,".115"
"975","32","1",".228"
"976","30","1",".197"
"977","34","1",".278"
"978","23","0",".091"
"979","24","0",".091"
"980","37","1",".38"
"981","57","4","1.413"
"982","49","4",".965"
"983","50",NA,"1.06"
"984","59",NA,"1.541"
"985","82","7","5.01"
"986","49",NA,".937"
"987","58","4","1.39"
"988","52","4","1.026"
"989","47","4",".802"
"990","70","6","3.214"
"991","61",NA,"1.789"
"992","63","5","1.997"
"993","53","4","1.073"
"994","37",NA,".398"
"995","55","4","1.382"
"996","50","4",".914"
"997","50","4","1.072"
"998","56","4","1.258"
"999","49","3","1.014"
"1000","57","4","1.604"
"1001","47","4",".836"
"1002","49","3",".96"
"1003","46","3",".701"
"1004","46",NA,".688"
"1005","49","3",".764"
"1006","60","4","1.526"
"1007","46","3",".728"
"1008","57","4","1.451"
"1009","53","3","1.279"
"1010","52",NA,"1.125"
"1011","47","3",".838"
"1012","47","3",".831"
"1013","72","6","3.622"
"1014","63",NA,"2.098"
"1015","56","4","1.388"
"1016","52","3","1.118"
"1017","58","4","1.448"
"1018","60","5","1.78"
"1019","50","4",".976"
"1020","70","5","2.546"
"1021","43","3",".516"
"1022","49","3",".799"
"1023","45","3",".811"
"1024","48","3",".934"
"1025","54","4","1.122"
"1026","54","6","1.3"
"1027","63","5","1.596"
"1028","62","5","1.888"
"1029","43","3",".557"
"1030","48","3",".916"
"1031","63","4","2.134"
"1032","62","5","1.867"
"1033","54","4","1.025"
"1034","78","7","4.32"
"1035","54","4","1.265"
"1036","55","4","1.388"
"1037","62","4","1.741"
"1038","54","4","1.123"
"1039","46","3",".649"
"1040","66","5","2.222"
"1041","58","4","1.441"
"1042","58",NA,"1.532"
"1043","37","1",".388"
"1044","25","1",".113"
"1045","30",NA,".185"
"1046","40","1",".471"
"1047","50","2","1.021"
"1048","16",NA,".029"
"1049","28",NA,".176"
"1050","26","0",".123"
"1051","22","0",".092"
"1052","24",NA,".092"
"1053","22",NA,".087"
"1054","27","0",".154"
"1055","44","2",".75"
"1056","51","3","1.379"
"1057","35","1",".307"
"1058","43","2",".531"
"1059","36","1",".313"
"1060","47","2",".922"
"1061","44","2",".797"
"1062","51","3","1.37"
"1063","59","3","1.43"
"1064","79","4","4.38"
"1065","60","3","1.642"
"1066","64","4","2.532"
"1067","43","2",".59"
"1068","41","2",".594"
"1069","61","3","1.862"
"1070","59",NA,"1.6"
"1071","53","2","1.061"
"1072","64","3","1.89"
"1073","72","4","3.21"
"1074","79","5","3.92"
"1075","55","3","1.234"
"1076","74","4","3.71"
"1077","66","3","2.36"
"1078","57","3","1.51"
"1079","73",NA,"3.01"
"1080","59","3","1.68"
"1081","72",NA,"2.96"
"1082","73","4","3.3"
"1083","24",NA,".095"
"1084","61","4","1.92"
"1085","50",NA,"1.109"
"1086","62","3","2.306"
"1087","53",NA,"1.447"
"1088","59","3","1.941"
"1089","22",NA,".073"
"1090","22",NA,".082"
"1091","58","3","1.83"
"1092","70","5","3.47"
"1093","60","3","1.81"
"1094","70","4","2.98"
"1095","53","3","1.34"
"1096","42",NA,".501"
"1097","26",NA,".111"
"1098","66","3","2.604"
"1099","59",NA,"1.786"
"1100","68","3","2.359"
"1101","68","3","2.74"
"1102","47","2",".772"
"1103","39","2",".567"
"1104","36","2",".342"
"1105","63",NA,"1.979"
"1106","54","4","1.384"
"1107","53","4","1.465"
"1108","16",NA,".022"
"1109","24",NA,".081"
"1110","22",NA,".062"
"1111","23",NA,".076"
"1112","21",NA,".054"
"1113","18",NA,".038"
"1114","27","0",".144"
"1115","26","0",".13"
"1116","22",NA,".075"
"1117","26","0",".108"
"1118","24","0",".095"
"1119","28","0",".144"
"1120","24","0",".098"
"1121","28","0",".148"
"1122","29",NA,".179"
"1123","41","1",".531"
"1124","42",NA,".749"
"1125","23","0",".077"
"1126","71","4","4.07"
"1127","21",NA,".051"
"1128","23",NA,".078"
"1129","23",NA,".078"
"1130","26",NA,".119"
"1131","22",NA,".068"
"1132","21","1",".056"
"1133","39","2",".412"
"1134","32","1",".286"
"1135","27","0",".13"
"1136","40","1",".551"
"1137","59","4","2.395"
"1138","74","7","4.078"
"1139","67","4","2.34"
"1140","71",NA,"3.392"
"1141","72","6","3.174"
"1142","76","6","4.126"
"1143","49","4","1.26"
"1144","47","3",".935"
"1145","69","5","2.826"
"1146","58","4","1.902"
"1147","45","4",".856"
"1148","17",NA,".034"
"1149","72",NA,"3.114"
"1150","49","3",".885"
"1151","41","2",".524"
"1152","71","4","2.805"
"1153","71","4","3.016"
"1154","63","3","1.83"
"1155","41","1",".49"
"1156","38","1",".391"
"1157","47","2",".737"
"1158","40","2",".455"
"1159","22",NA,".062"
"1160","24","1",".08"
"1161","28",NA,".135"
"1162","20","0",".055"
"1163","21",NA,".067"
"1164","62",NA,"1.899"
"1165","53","4","1.407"
"1166","41","1",".48"
"1167","38","1",".468"
"1168","35","1",".323"
"1169","33","1",".239"
"1170","35","1",".343"
"1171","61","3","1.982"
"1172","57","3","1.535"
"1173","58","3","1.691"
"1174","58",NA,"1.36"
"1175","73","4","3.16"
"1176","75","5","3.062"
"1177","44",NA,".645"
